Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,no_of_total_guests,no_of_total_days_stay
INN35141,3,0,0,5,Meal Plan 1,0,Room_Type 1,71,2017,12,29,Online,0,0,0,112.58,1,Not_Canceled,3,5
INN24734,2,0,0,3,Meal Plan 1,0,Room_Type 1,105,2017,11,26,Online,0,0,0,72.25,3,Not_Canceled,2,3
INN19256,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,2,11,Offline,0,0,0,64.0,0,Not_Canceled,2,3
INN23025,3,0,0,3,Meal Plan 1,0,Room_Type 4,5,2018,4,12,Online,0,0,0,157.0,2,Not_Canceled,3,3
INN16646,2,0,2,2,Meal Plan 1,0,Room_Type 2,231,2018,9,11,Online,0,0,0,100.3,1,Canceled,2,4
INN18842,2,1,0,1,Meal Plan 1,0,Room_Type 1,8,2018,3,30,Online,0,0,0,128.0,2,Not_Canceled,3,1
INN31525,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Canceled,2,3
INN13030,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled,2,2
INN30904,1,0,2,0,Meal Plan 1,0,Room_Type 4,2,2018,5,29,Online,0,0,0,104.72,1,Not_Canceled,1,2
INN14526,1,0,1,2,Meal Plan 1,0,Room_Type 1,41,2017,10,16,Online,0,0,0,96.9,2,Not_Canceled,1,3
INN15105,1,0,1,1,Not Selected,0,Room_Type 1,5,2018,4,11,Offline,0,0,0,99.0,1,Not_Canceled,1,2
INN29058,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115.0,1,Canceled,2,2
INN12096,2,1,0,2,Meal Plan 1,0,Room_Type 1,192,2018,8,3,Online,0,0,0,121.5,1,Canceled,3,2
INN05805,2,0,0,2,Meal Plan 1,0,Room_Type 1,315,2018,12,2,Offline,0,0,0,52.0,0,Not_Canceled,2,2
INN04389,2,1,0,1,Not Selected,0,Room_Type 1,4,2018,9,20,Offline,0,0,0,152.2,0,Not_Canceled,3,1
INN24569,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled,2,3
INN28951,2,0,2,3,Meal Plan 1,0,Room_Type 1,106,2018,4,17,Online,0,0,0,82.45,0,Not_Canceled,2,5
INN35034,2,0,2,1,Meal Plan 1,0,Room_Type 1,2,2018,2,21,Offline,0,0,0,82.0,0,Not_Canceled,2,3
INN33855,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,2017,10,10,Offline,0,0,0,76.67,0,Not_Canceled,2,3
INN02239,2,0,0,1,Meal Plan 1,0,Room_Type 1,158,2018,9,16,Online,0,0,0,126.9,1,Canceled,2,1
INN28877,2,0,2,0,Not Selected,0,Room_Type 1,1,2017,12,27,Online,0,0,0,68.0,0,Not_Canceled,2,2
INN18742,2,0,2,3,Meal Plan 1,0,Room_Type 4,59,2018,4,28,Online,0,0,0,128.69,0,Canceled,2,5
INN09646,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,10,5,Online,0,0,0,152.0,2,Not_Canceled,2,2
INN11008,2,0,1,0,Meal Plan 1,0,Room_Type 4,5,2018,5,1,Online,0,0,0,155.0,1,Not_Canceled,2,1
INN07788,1,0,2,3,Meal Plan 1,0,Room_Type 1,3,2018,11,20,Corporate,1,5,52,65.0,2,Not_Canceled,1,5
INN13460,2,0,0,5,Meal Plan 1,0,Room_Type 1,230,2018,9,6,Offline,0,0,0,137.0,1,Canceled,2,5
INN33870,2,0,2,1,Meal Plan 1,0,Room_Type 1,5,2018,3,6,Online,0,0,0,74.8,1,Not_Canceled,2,3
INN08124,2,0,2,2,Not Selected,0,Room_Type 1,116,2018,10,23,Online,0,0,0,94.05,0,Canceled,2,4
INN04220,2,0,1,2,Meal Plan 1,0,Room_Type 2,8,2018,3,11,Online,0,0,0,103.0,1,Not_Canceled,2,3
INN18599,2,0,2,6,Meal Plan 1,0,Room_Type 1,55,2017,9,2,Online,0,0,0,97.93,1,Not_Canceled,2,8
INN27611,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled,2,2
INN13664,2,0,1,1,Meal Plan 1,0,Room_Type 1,38,2018,6,18,Offline,0,0,0,85.5,0,Not_Canceled,2,2
INN02411,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled,2,2
INN07292,2,0,2,1,Meal Plan 2,0,Room_Type 1,145,2017,8,29,Online,0,0,0,94.5,0,Canceled,2,3
INN21745,2,1,2,2,Meal Plan 1,0,Room_Type 1,30,2018,5,21,Online,0,0,0,133.58,0,Not_Canceled,3,4
INN32312,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Offline,0,0,0,106.0,0,Canceled,2,4
INN14903,2,0,0,2,Meal Plan 1,0,Room_Type 1,7,2017,8,26,Online,0,0,0,90.0,2,Not_Canceled,2,2
INN30013,1,0,0,2,Meal Plan 1,0,Room_Type 6,2,2018,9,14,Corporate,0,0,0,159.07,0,Not_Canceled,1,2
INN03128,1,0,1,3,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled,1,4
INN24373,2,0,2,3,Not Selected,0,Room_Type 1,3,2018,5,12,Offline,0,0,0,96.8,1,Not_Canceled,2,5
INN14838,1,0,0,1,Meal Plan 1,0,Room_Type 4,1,2018,2,17,Online,0,0,0,66.3,1,Not_Canceled,1,1
INN00567,2,0,2,2,Meal Plan 1,0,Room_Type 4,45,2018,10,7,Online,0,0,0,139.5,1,Canceled,2,4
INN17872,2,0,0,3,Meal Plan 1,1,Room_Type 1,247,2018,9,14,Online,0,0,0,115.2,2,Canceled,2,3
INN07485,2,0,0,4,Meal Plan 1,0,Room_Type 1,210,2018,10,19,Online,0,0,0,96.3,2,Canceled,2,4
INN04886,1,0,0,3,Meal Plan 1,0,Room_Type 4,58,2018,6,1,Online,0,0,0,140.4,0,Canceled,1,3
INN10232,3,1,0,3,Meal Plan 1,0,Room_Type 7,13,2018,8,10,Online,0,0,0,231.15,2,Not_Canceled,4,3
INN23201,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled,2,2
INN18829,1,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,1,26,Online,0,0,0,86.0,1,Not_Canceled,1,1
INN20251,2,0,1,1,Meal Plan 1,0,Room_Type 1,2,2018,6,13,Online,0,0,0,91.0,2,Not_Canceled,2,2
INN11216,2,0,2,5,Meal Plan 1,0,Room_Type 1,31,2018,8,23,Online,0,0,0,129.6,1,Not_Canceled,2,7
INN09051,3,0,0,4,Meal Plan 1,0,Room_Type 4,28,2018,3,9,Online,0,0,0,120.65,3,Not_Canceled,3,4
INN21977,2,0,2,2,Meal Plan 1,0,Room_Type 1,153,2018,7,23,Online,0,0,0,99.45,1,Not_Canceled,2,4
INN20151,2,0,1,2,Meal Plan 1,0,Room_Type 1,29,2018,12,23,Online,0,0,0,104.0,0,Not_Canceled,2,3
INN29827,1,0,0,1,Meal Plan 1,0,Room_Type 1,22,2017,11,17,Corporate,0,0,0,62.0,1,Not_Canceled,1,1
INN09714,2,0,2,5,Meal Plan 1,0,Room_Type 1,8,2018,11,4,Online,0,0,0,113.6,1,Not_Canceled,2,7
INN15226,2,0,2,0,Not Selected,0,Room_Type 1,81,2018,4,10,Online,0,0,0,85.5,1,Not_Canceled,2,2
INN16520,2,0,2,3,Meal Plan 1,0,Room_Type 1,64,2018,3,12,Offline,0,0,0,46.4,0,Not_Canceled,2,5
INN06137,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled,2,3
INN09426,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,23,Online,0,0,0,85.0,0,Not_Canceled,1,1
INN35973,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled,2,2
INN14546,2,0,2,3,Meal Plan 1,0,Room_Type 4,109,2018,5,8,Offline,0,0,0,90.96,1,Not_Canceled,2,5
INN32485,1,0,0,3,Not Selected,0,Room_Type 1,11,2018,9,6,Online,0,0,0,87.01,1,Not_Canceled,1,3
INN16013,2,0,2,2,Meal Plan 1,0,Room_Type 1,212,2018,10,9,Online,0,0,0,75.23,0,Canceled,2,4
INN08234,2,0,0,3,Not Selected,0,Room_Type 1,118,2018,6,2,Online,0,0,0,116.1,0,Canceled,2,3
INN31903,1,0,1,1,Meal Plan 1,0,Room_Type 1,1,2018,2,15,Online,0,0,0,85.0,0,Not_Canceled,1,2
INN13762,2,0,0,2,Meal Plan 1,0,Room_Type 1,9,2017,9,11,Online,0,0,0,128.5,1,Not_Canceled,2,2
INN23244,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled,2,2
INN04694,2,1,1,1,Meal Plan 1,0,Room_Type 1,8,2018,8,13,Online,0,0,0,159.5,0,Not_Canceled,3,2
INN30857,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85.0,0,Canceled,2,3
INN25357,2,0,2,5,Meal Plan 2,0,Room_Type 4,77,2018,4,17,Online,0,0,0,146.93,1,Canceled,2,7
INN03640,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,Not_Canceled,1,2
INN11277,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled,2,3
INN26496,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled,2,3
INN25190,2,0,0,4,Meal Plan 1,0,Room_Type 1,15,2017,8,18,Offline,0,0,0,75.0,0,Not_Canceled,2,4
INN34586,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,20,Online,0,0,0,99.0,1,Not_Canceled,2,1
INN31842,1,0,0,3,Not Selected,0,Room_Type 1,1,2018,11,17,Online,0,0,0,95.0,2,Not_Canceled,1,3
INN28683,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,26,Offline,0,0,0,80.0,0,Not_Canceled,2,1
INN31291,2,0,0,3,Meal Plan 1,0,Room_Type 1,50,2018,1,14,Offline,0,0,0,52.0,1,Not_Canceled,2,3
INN01809,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled,2,2
INN09128,2,0,2,2,Not Selected,0,Room_Type 1,72,2018,5,29,Online,0,0,0,109.65,0,Canceled,2,4
INN18474,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled,2,2
INN29821,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,80.0,0,Not_Canceled,1,3
INN06266,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,80.0,0,Canceled,1,2
INN21902,2,0,2,2,Meal Plan 1,0,Room_Type 4,62,2017,11,1,Offline,0,0,0,63.3,0,Not_Canceled,2,4
INN35359,1,0,0,2,Not Selected,0,Room_Type 1,29,2018,9,1,Online,0,0,0,104.5,2,Not_Canceled,1,2
INN04985,2,0,0,2,Meal Plan 1,0,Room_Type 1,37,2018,11,17,Online,0,0,0,104.0,2,Not_Canceled,2,2
INN06877,2,0,1,0,Meal Plan 1,0,Room_Type 1,75,2017,11,15,Online,0,0,0,72.25,2,Not_Canceled,2,1
INN01095,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,3,17,Online,0,0,0,73.95,0,Not_Canceled,2,4
INN13881,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled,1,3
INN16206,1,0,0,1,Not Selected,0,Room_Type 1,14,2018,6,8,Online,0,0,0,109.0,0,Not_Canceled,1,1
INN23995,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,2018,1,12,Online,0,0,0,60.29,0,Canceled,2,4
INN13689,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,9,19,Corporate,0,0,0,185.0,0,Not_Canceled,1,3
INN21210,2,0,1,1,Meal Plan 1,0,Room_Type 4,9,2018,12,31,Online,0,0,0,148.0,0,Not_Canceled,2,2
INN01600,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81.0,0,Not_Canceled,1,1
INN02853,1,0,2,0,Meal Plan 2,0,Room_Type 1,132,2018,7,3,Online,0,0,0,90.9,1,Not_Canceled,1,2
INN08793,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67.0,0,Not_Canceled,2,1
INN21565,3,0,1,1,Meal Plan 1,0,Room_Type 4,33,2018,6,27,Online,0,0,0,141.3,2,Not_Canceled,3,2
INN01369,2,0,1,3,Not Selected,0,Room_Type 1,109,2018,4,18,Online,0,0,0,76.5,1,Canceled,2,4
INN01251,1,0,2,3,Meal Plan 1,0,Room_Type 1,81,2018,7,3,Online,0,0,0,108.9,1,Not_Canceled,1,5
INN20790,2,0,2,4,Meal Plan 1,0,Room_Type 1,107,2017,8,9,Offline,0,0,0,63.75,1,Canceled,2,6
INN27465,2,0,0,1,Not Selected,0,Room_Type 1,57,2018,11,22,Online,0,0,0,60.98,1,Not_Canceled,2,1
INN19917,2,0,0,3,Meal Plan 2,0,Room_Type 1,71,2017,9,22,Offline,0,0,0,127.0,0,Not_Canceled,2,3
INN21189,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,2,25,Corporate,0,0,0,80.0,0,Not_Canceled,1,1
INN05920,2,0,2,0,Meal Plan 1,0,Room_Type 1,12,2018,8,28,Online,0,0,0,130.0,2,Not_Canceled,2,2
INN11904,2,0,1,1,Meal Plan 1,0,Room_Type 4,33,2018,4,2,Online,0,0,0,131.4,0,Not_Canceled,2,2
INN19337,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled,2,3
INN25221,2,0,2,2,Meal Plan 1,0,Room_Type 1,9,2018,2,14,Offline,0,0,0,87.0,1,Not_Canceled,2,4
INN02544,2,0,1,3,Meal Plan 1,0,Room_Type 1,63,2017,11,12,Online,0,0,0,85.0,1,Not_Canceled,2,4
INN32342,2,0,0,1,Not Selected,0,Room_Type 1,35,2018,6,21,Online,0,0,0,89.1,0,Canceled,2,1
INN25488,1,0,0,1,Meal Plan 1,0,Room_Type 1,17,2017,10,30,Offline,0,0,0,95.0,0,Not_Canceled,1,1
INN25868,1,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,72.0,0,Not_Canceled,1,1
INN08660,1,0,0,2,Meal Plan 1,0,Room_Type 1,57,2017,10,28,Online,0,0,0,85.5,3,Not_Canceled,1,2
INN29480,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled,1,3
INN05451,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110.0,0,Canceled,1,3
INN01457,2,0,0,1,Meal Plan 2,0,Room_Type 1,219,2017,9,4,Online,0,0,0,108.0,0,Canceled,2,1
INN02047,2,0,0,2,Meal Plan 1,0,Room_Type 4,177,2018,7,27,Online,0,0,0,82.96,0,Canceled,2,2
INN09278,2,0,0,2,Meal Plan 1,0,Room_Type 1,217,2018,9,15,Online,0,0,0,126.9,2,Canceled,2,2
INN08066,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,2017,12,29,Offline,0,0,0,70.0,0,Not_Canceled,2,5
INN16921,2,0,0,2,Meal Plan 1,0,Room_Type 1,14,2018,7,21,Corporate,0,0,0,105.0,0,Not_Canceled,2,2
INN17205,1,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,67.83,0,Not_Canceled,1,3
INN12490,2,0,0,4,Meal Plan 1,0,Room_Type 1,74,2018,11,15,Online,0,0,0,88.4,2,Canceled,2,4
INN35774,2,0,1,0,Meal Plan 1,0,Room_Type 4,3,2017,10,11,Online,0,0,0,136.0,1,Not_Canceled,2,1
INN31097,2,0,1,1,Meal Plan 1,0,Room_Type 4,11,2018,6,20,Online,0,0,0,156.0,1,Canceled,2,2
INN02696,3,0,2,4,Meal Plan 1,0,Room_Type 4,130,2018,8,6,Online,0,0,0,155.7,2,Not_Canceled,3,6
INN05228,2,0,1,3,Meal Plan 1,0,Room_Type 1,47,2017,10,1,Online,0,0,0,103.05,1,Not_Canceled,2,4
INN28362,2,0,2,3,Meal Plan 1,0,Room_Type 1,62,2017,7,2,Online,0,0,0,76.5,1,Canceled,2,5
INN07948,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2018,7,24,Online,0,0,0,110.46,1,Not_Canceled,2,4
INN28887,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled,2,2
INN02119,2,0,0,2,Not Selected,0,Room_Type 1,53,2018,11,11,Online,0,0,0,79.2,2,Not_Canceled,2,2
INN26393,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled,2,2
INN33243,2,0,1,5,Meal Plan 1,0,Room_Type 1,18,2017,9,7,Online,0,0,0,143.0,1,Canceled,2,6
INN27684,2,0,0,4,Meal Plan 1,0,Room_Type 1,204,2017,8,12,Online,0,0,0,76.5,3,Not_Canceled,2,4
INN05541,2,0,0,4,Meal Plan 1,0,Room_Type 4,62,2017,11,25,Offline,0,0,0,60.0,0,Not_Canceled,2,4
INN17258,2,0,1,3,Meal Plan 1,0,Room_Type 4,32,2018,10,6,Online,0,0,0,140.0,2,Not_Canceled,2,4
INN03677,1,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,12,2,Corporate,0,0,0,66.18,1,Not_Canceled,1,2
INN15601,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90.0,0,Canceled,2,5
INN07275,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Online,0,0,0,107.0,0,Canceled,2,3
INN00891,1,0,1,0,Meal Plan 1,0,Room_Type 1,263,2017,9,21,Offline,0,0,0,59.5,0,Not_Canceled,1,1
INN25521,2,0,0,2,Meal Plan 1,0,Room_Type 4,75,2018,5,26,Online,0,0,0,140.4,0,Canceled,2,2
INN00800,2,0,1,2,Meal Plan 1,0,Room_Type 4,71,2018,10,21,Online,0,0,0,101.87,1,Not_Canceled,2,3
INN31758,1,0,1,1,Meal Plan 1,0,Room_Type 1,92,2018,4,4,Online,0,0,0,81.9,1,Canceled,1,2
INN17002,1,0,0,3,Meal Plan 1,0,Room_Type 5,4,2018,7,19,Corporate,0,0,0,147.0,0,Not_Canceled,1,3
INN21381,3,0,2,3,Meal Plan 1,0,Room_Type 4,49,2018,6,19,Online,0,0,0,137.7,0,Canceled,3,5
INN33978,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,100.0,0,Not_Canceled,2,3
INN24392,3,0,2,0,Meal Plan 1,0,Room_Type 6,76,2018,9,4,Online,0,0,0,207.9,1,Canceled,3,2
INN36221,2,0,2,5,Not Selected,0,Room_Type 1,41,2018,6,27,Online,0,0,0,104.53,0,Canceled,2,7
INN35198,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,Not_Canceled,2,3
INN29835,1,0,0,1,Meal Plan 1,0,Room_Type 1,22,2017,11,17,Corporate,0,0,0,62.0,0,Not_Canceled,1,1
INN20621,2,0,1,3,Meal Plan 1,0,Room_Type 1,287,2018,9,29,Online,0,0,0,100.3,0,Canceled,2,4
INN31382,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled,1,2
INN11256,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114.0,1,Not_Canceled,1,3
INN30248,2,0,1,3,Meal Plan 1,0,Room_Type 1,50,2018,11,3,Online,0,0,0,108.0,1,Canceled,2,4
INN08193,2,0,1,3,Meal Plan 1,0,Room_Type 1,4,2018,12,29,Online,0,0,0,122.48,1,Not_Canceled,2,4
INN25607,1,0,1,0,Meal Plan 1,0,Room_Type 1,111,2018,10,10,Offline,0,0,0,120.0,0,Canceled,1,1
INN13612,2,0,2,2,Meal Plan 1,0,Room_Type 1,82,2018,8,5,Online,0,0,0,117.9,1,Not_Canceled,2,4
INN24452,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,8,18,Online,0,0,0,135.9,0,Canceled,2,3
INN31771,2,0,4,10,Meal Plan 1,0,Room_Type 4,232,2018,8,29,Online,0,0,0,104.13,1,Canceled,2,14
INN12899,1,1,2,1,Meal Plan 1,0,Room_Type 6,69,2018,5,7,Online,0,0,0,198.9,0,Not_Canceled,2,3
INN01041,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Online,0,0,0,94.5,0,Canceled,2,3
INN03916,3,0,1,0,Meal Plan 1,0,Room_Type 4,25,2018,9,18,Online,0,0,0,185.0,0,Not_Canceled,3,1
INN08624,2,0,0,2,Meal Plan 1,0,Room_Type 1,50,2017,10,21,Online,0,0,0,94.5,1,Not_Canceled,2,2
INN25456,2,0,1,3,Meal Plan 1,0,Room_Type 4,184,2018,10,17,Online,0,0,0,128.7,2,Canceled,2,4
INN05447,3,0,2,2,Meal Plan 1,0,Room_Type 4,19,2018,7,3,Online,0,0,0,187.0,2,Not_Canceled,3,4
INN25515,2,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Offline,0,0,0,109.0,1,Not_Canceled,2,3
INN16622,2,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,6,23,Online,0,0,0,91.0,1,Not_Canceled,2,1
INN22993,2,0,1,4,Meal Plan 1,0,Room_Type 1,148,2017,12,30,Offline,0,0,0,67.0,0,Not_Canceled,2,5
INN08722,1,0,0,2,Meal Plan 1,0,Room_Type 4,8,2018,5,10,Online,0,0,0,108.57,1,Canceled,1,2
INN24832,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,6,20,Corporate,0,0,0,95.0,0,Not_Canceled,1,1
INN28940,2,0,0,1,Not Selected,0,Room_Type 1,8,2018,12,17,Online,0,0,0,78.0,1,Not_Canceled,2,1
INN22331,2,0,0,2,Meal Plan 1,0,Room_Type 1,68,2017,9,29,Offline,0,0,0,65.0,0,Not_Canceled,2,2
INN08746,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,5,24,Corporate,0,0,0,110.0,1,Not_Canceled,2,2
INN18325,2,0,2,1,Meal Plan 1,0,Room_Type 1,1,2017,8,16,Online,0,0,0,138.0,2,Not_Canceled,2,3
INN04811,2,0,0,3,Not Selected,0,Room_Type 1,8,2018,1,13,Online,0,0,0,69.5,0,Not_Canceled,2,3
INN33801,3,0,1,3,Meal Plan 1,0,Room_Type 1,70,2018,4,4,Online,0,0,0,121.55,2,Not_Canceled,3,4
INN33723,2,0,2,1,Meal Plan 2,0,Room_Type 1,96,2017,7,11,Offline,0,0,0,94.5,0,Not_Canceled,2,3
INN02561,2,0,1,4,Not Selected,0,Room_Type 1,44,2018,11,16,Online,0,0,0,74.8,1,Not_Canceled,2,5
INN12722,2,0,0,3,Meal Plan 1,0,Room_Type 1,90,2018,4,19,Online,0,0,0,105.3,1,Not_Canceled,2,3
INN27218,1,0,0,1,Not Selected,0,Room_Type 1,12,2018,7,20,Online,0,0,0,89.0,0,Canceled,1,1
INN16983,1,0,0,2,Meal Plan 1,0,Room_Type 1,7,2017,11,3,Online,0,0,0,89.0,1,Not_Canceled,1,2
INN04341,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,136.0,0,Not_Canceled,2,4
INN08581,2,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,11,25,Online,0,0,0,104.0,2,Not_Canceled,2,1
INN12567,2,0,1,2,Meal Plan 1,1,Room_Type 1,96,2018,4,18,Online,0,0,0,96.3,1,Not_Canceled,2,3
INN10712,2,0,2,2,Meal Plan 1,0,Room_Type 1,95,2018,4,17,Online,0,0,0,86.7,3,Not_Canceled,2,4
INN04174,2,0,1,1,Meal Plan 1,0,Room_Type 4,29,2018,10,15,Online,0,0,0,154.5,1,Canceled,2,2
INN27826,1,0,1,2,Not Selected,0,Room_Type 1,7,2018,10,3,Online,0,0,0,103.18,3,Not_Canceled,1,3
INN17954,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled,2,3
INN04379,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,2018,8,19,Offline,0,0,0,78.0,1,Not_Canceled,2,5
INN05703,2,0,0,1,Meal Plan 1,0,Room_Type 4,54,2018,6,4,Online,0,0,0,159.3,0,Canceled,2,1
INN23190,1,0,0,2,Meal Plan 1,0,Room_Type 1,12,2018,6,8,Offline,0,0,0,90.0,1,Not_Canceled,1,2
